Standalone Games:,,,
Codename,Official Name,MD5 (128-bit) Checksum,SHA-2 (512 bit) Checksum
USA-0,Super Mario Bros. (JU) (PRG0) [!].nes,811B027EAF99C2DEF7B933C5208636DE,C2EB66533F2BFEC61F15793884777B1C711AEBD74533CD33BD5774112A0381234583B9AA05588225282FD3071A42A7A4DA27BDE485D21FC0B45B2B2CA2D5461F
USA-1,Super Mario Bros. (JU) (PRG1).nes,94EDE9347C1416105F1C08EC26B5B73A,C254479DF875E6F88F015563271624641433B15DE8242DE99EB883A745D09136C81663CA86613F02188E191B9C86F032D7C2080D4AA470B1CD9DB3695F811914
EUROPE,Super Mario Bros. (E).nes,673913A23CD612DAF5AD32D4085E0760,5683F4ABBF4B2F66403E063594D02183B252BDFB3E6662829EB008C00EAAF0E80671E8745AA067B9A5F46F20E91F2615AE1B67FF1E86D034FE7088677736E5B3
FDS,Super Mario Bros. (J).fds,843029F1EF5B25BA6555DF35ACBE7EE5,3CB7F3B92CDC6989CEB1DDC04CECA56FAB3CF24BEDB02B655360025027730CF4A1A9D3C793CFD0E9BFD1760C7260D3A4F31F6A5F32E5C725235C57D66498ACCB
,,,
Combo Games:,,,
Codename,Official Name,MD5 (128-bit) Checksum,SHA-2 (512 bit) Checksum
DUCK,Super Mario Bros. + Duck Hunt (U).nes,1306A0286248A0851005464D7EC8D785,C900D4B65C956D9BD1FC5459683061017745E23F82588F6C2A152ED4AD4F83025033FB9BE32734D608CC55A4F7A82CCB716BB9CC95EA0542E5F656C69D3E298C
TRACK,Super Mario Bros. + Duck Hunt + World Class Track Meet (U).nes,87F93E3F88563BCF4355EF1384A00521,7815F5BD6568AE3E2FB428CEA510415FE688971A40AF2E9D354E37AC0D3B98E74F53A8F9BD9A7FBF1785A3B785EF447B5D770F3DE77D21E4B063FC7B5D7DA5EF
